BRA_Density, CCRA_Density, BRA_NBofCars, CCRA_NbofCars, BRA_Length, CCRA_Length
1.5635807E-4,1.5635807E-4,1,1,2034.956,2034.956
6.0303268E-5,6.0303268E-5,1,1,3224.443,3224.443
2.6368483E-5,2.6368483E-5,2,2,7174.8228,7174.8228
8.952472E-5,8.952472E-5,5,5,5835.126,5835.126
4.8750186E-5,4.8750186E-5,2,2,4786.3066,4786.3066
1.9102432E-4,1.9102432E-4,7,7,5029.644,5029.644
4.0317743E-4,4.0317743E-4,11,11,4547.212,4547.212
6.502663E-5,6.502663E-5,6,6,8073.615,8073.615
2.790969E-4,2.790969E-4,8,8,5016.179,5016.179
0.0014482975,0.0014482975,8,8,2148.116,2148.116
